Sr.no|title|content|author|image url|news url|label
1|Video Of Cheetahs Snuggling Up To A Man Is From South Africa|BOOM found that the video features Dolph C Volker, an animal advocate who was studying the behavioral changes of...|Facebook Posts & WhatsApp Message|https://www.boomlive.in/h-upload/2020/12/24/500x300_937127-cheetah-in-temple-020.webp|https://www.boomlive.in/fake-news/fast-check/video-cheetahs-snuggling-up-to-a-man-is-from-south-africa-rajasthan-pipaleshwar-mahadev-temple-priest-with-cheetahs-sirohilini-village-11278|1
2|Did BJP MP Bidhuri Use A Derogatory Word For Farmers? A FactCheck|BOOM heard the video and found that the MP had not used unparliamentary language while referring to farmers.|Aam Admi Party and other Facebook pages|https://www.boomlive.in/h-upload/2020/12/23/500x300_937057-bjp-on-farmers.webp|https://www.boomlive.in/fake-news/fake-news/aam-aadmi-party-claims-bjp-mp-ramesh-bidhri-abused-farmers-farmers-protest-delhi-borders-11276|1
3|Rakab Ganj Gurudwara Removes Carpet Ahead Of PM Modi's Visit?...|BOOM found that PM Narendra Modi voluntarily walked on the floor beside the carpet on his surprise visit to the...|Facebook Users|https://www.boomlive.in/h-upload/2020/12/23/500x300_937049-fake-claim-saying-modi-was-made-to-walk-on-cold-floor.webp|https://www.boomlive.in/fake-news/fake-news/carpet-removed-narendra-modis-gurudwara-visit-viral-image-fact-check-11266|1
4|COVID-19 Rules Violated At Mukesh Ambani's Party? A FactCheck|BOOM found that the video is from September, 2019, when celebrities attended the Ganesh Chaturthi celebrations at Mukesh ...|Facebook users|https://www.boomlive.in/h-upload/2020/12/22/500x300_936992-ambani-party.webp|https://www.boomlive.in/fake-news/fake-news/covid-19-rules-violated-at-mukesh-ambanis-party-a-factcheck-11258|1
5|No, Shaheen Bagh's Bilkis Dadi Is Not In Jail|BOOM spoke to Bilkis Bano's son Manzoor who confirmed that she was detained briefly on December 1 for joining the...|Twitter handles|https://www.boomlive.in/h-upload/2020/12/22/500x300_936988-bilkis-dadi00.webp|https://www.boomlive.in/fake-news/fake-news/shaheen-bagh-dadi-bilkis-bano-in-jail-fake-news-fact-check-congress-delhi-police-caa-farmers-protest-86-year-old-11255|1
6|False: Graphic Stating West Bengal Has Highest Rapes In India|A Bangla graphic falsely cites NCRB's 2018 data to state that West Bengal has the highest rape cases in the country|Facebook pages|https://www.boomlive.in/h-upload/2020/12/21/500x300_936907-report-says-madhya-pradesh-ranks-one-02.webp|https://www.boomlive.in/fake-news/fake-news/mamata-banerjee-rape-statistics-west-bengal-ncrb-2018-tmc-11248|1
7|Video Of Woman Accidentally Shot In Foot By Cop Viral With Fake Claim|BOOM spoke to the deputy commissioner of police, Rohini, Delhi who denied any communal angle in the incident.|Facebook posts|https://www.boomlive.in/h-upload/2020/12/21/500x300_936908--01.webp|https://www.boomlive.in/fake-news/fake-news/viral-video-delhi-police-constable-shoots-woman-in-her-foot-11244|1
8|Farmers' Protest: Old Image Of Little Girl Distributing Rotis Revived|BOOM found that the image is available on social media since 2017 and is not related to the ongoing farmers' protest.|Twitter users|https://www.boomlive.in/h-upload/2020/12/21/500x300_936891-old-image-032.webp|https://www.boomlive.in/fake-news/fake-news/viral-image-little-girl-distributing-roti-farmers-protest-fact-check-11242|1
9|Rate Card Offering Cash For Marrying Non-Muslim Women Is Fake|BOOM found that the rate card is fake and has been circulating online since 2012 with false claims.|Facebook Posts|https://www.boomlive.in/h-upload/2020/12/21/500x300_936878-love-jihad-fake-news.webp|https://www.boomlive.in/fake-news/fast-check/fake-love-jihad-rate-card-muslims-marrying-hindu-woman-pfi-fact-check-fake-news-11238|1
10|2006 Video Of Mamata Banerjee's Outburst In WB Assembly Lobby Revived|The video has been shared with a misleading claim in the backdrop of Home Minister Amit Shah's West Bengal tour.|Facebook Post|https://www.boomlive.in/h-upload/2020/12/20/500x300_936831-tmc-leaders-ransacks-wb-assembly-2006.webp|https://www.boomlive.in/fake-news/fast-check/amit-shah-in-west-bengal-mamata-banerjee-video-11233|1
