Sr.no|title|content|author|image url|news url|label
1|2019 Photo Falsely Shared As Ashok Gehlot Bursting Crackers On Diwali|BOOM found that the viral photo is from October 2019 when Ashok Gehlot celebrated Diwali with his family.|BoomLive|https://www.boomlive.in/h-upload/2020/11/23/500x300_934737-cm-ashok.webp|https://www.boomlive.in/fake-news/fake-news/2019-photo-falsely-shared-as-ashok-gehlot-bursting-crackers-on-diwali-10759|1
2|2016 Video Viral As Diwali Celebrations By The Indian Navy|A 2016 video from International Fleet Review in Visakhapatnam, Andhra Pradesh is viral as recent.|BoomLive|https://www.boomlive.in/h-upload/2020/11/21/500x300_934678-indian-navy.webp|https://www.boomlive.in/fake-news/fake-news/2016-video-viral-as-diwali-celebrations-by-the-indian-navy-10746|1
3|Social Media 'Celebrates' Airstrike In PoK, Indian Army Refutes Claim|Indian Army's Director General of Military Operations said that reports of army's action in Pakistan-occupied Kashmir...|BoomLive|https://www.boomlive.in/h-upload/2020/11/20/500x300_934648--24-1.webp|https://www.boomlive.in/fake-news/fake-news/social-media-celebrates-airstrike-in-pok-indian-army-refutes-claim-10742|1
4|2014 Video Shared As Hindu Chants Recited At White House For Joe Biden|The video is from 2014 when a Hindu-American organisation held an event at the White House to celebrate Mahatma Gandhi's ...|BoomLive|https://www.boomlive.in/h-upload/2020/11/20/500x300_934629-vedic-chanting-in-u-s-senate.webp|https://www.boomlive.in/fake-news/fake-news/2014-video-shared-as-hindu-chants-recited-at-white-house-for-joe-biden-10735|1
5|Video Game Clip Revived Falsely Claiming IAF Air Strikes In PoK|BOOM found that the clip is not actual footage of an Indian Air Force airstrike.|BoomLive|https://www.boomlive.in/h-upload/2020/11/20/500x300_934623-pok-airforce-airstrike.webp|https://www.boomlive.in/fake-news/fast-check/video-game-clip-revived-falsely-claiming-iaf-air-strikes-in-pok-10731|1
6|Image Of Amit Shah Dining With Mamata Banerjee Revived With False...|BOOM found that the image was taken in February, 2020 at a lunch meeting at Naveen Patnaik's residence in Odisha.|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934564-old-picture-of-mamata-banerjee-amit-shah-01.webp|https://www.boomlive.in/fake-news/fake-news/image-of-amit-shah-dining-with-mamata-banerjee-revived-with-false-claims-10729|1
7|India Today, Aaj Tak Tweet Edited Video Of Indonesian Kid Dancing|BOOM found that the video was shot in Indonesia's West Java Province, where a four-year-old danced to Islamic chants|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934581-dama-dam-mast-qalandar-sufi-song-01.webp|https://www.boomlive.in/fake-news/fake-news/india-today-aaj-tak-tweet-edited-video-of-indonesian-kid-dancing-10727|1
8|No, This Video Does Not Show Yogi Adityanath Bursting Firecrackers On...|The video is from August 2020 when the chief minister lit a firecracker ahead of the foundation stone laying ceremony of ...|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934546-yogi-land.webp|https://www.boomlive.in/fake-news/fake-news/no-this-video-does-not-show-yogi-adityanath-bursting-firecrackers-on-diwali-10723|1
9|No, This Is Not A Polling Officer Alleging Rigging During Bihar...|BOOM found that the viral clip is from Madhya Pradesh where a Congress leader's daughter had made these allegations...|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934553-madhya-pradesh.webp|https://www.boomlive.in/fake-news/fake-news/no-this-is-not-a-polling-officer-alleging-rigging-during-bihar-elections-10714|1
10|Pak Handles Share 2010 Photo Linking It To Recent LoC Strike|BOOM found that the viral photo dates back to 2010 and is not from the recent tribute ceremony for the four soldiers...|BoomLive|https://www.boomlive.in/h-upload/2020/11/18/500x300_934502-this-is-10-years-old-pic-1.webp|https://www.boomlive.in/fake-news/fake-news/pak-handles-share-2010-photo-linking-it-to-recent-loc-strike-10708|1
11|Indian Army Refutes Reports Of Microwave Weapons Used By China At...|The claim originated from a professor at Renmin University of Beijing, but has not been confirmed by Chinese officials.|BoomLive|https://www.boomlive.in/h-upload/2020/11/18/500x300_934508-india-china-clash.webp|https://www.boomlive.in/fake-news/fake-news/indian-army-refutes-reports-of-microwave-weapons-used-by-china-at-border-10703|1
12|Disturbing Video of Woman Burnt in Karnataka Peddled as UP|BOOM found that the incident is from Mysuru district of Karnataka, where an unidentified woman's charred corpse was|BoomLive|https://www.boomlive.in/h-upload/2020/11/17/500x300_934407-934364-incident-of-a-girl-burnt-alive-in-mysuru-shared-as-incident-from-up-01.webp|https://www.boomlive.in/fake-news/fake-news/disturbing-video-of-woman-burnt-in-karnataka-peddled-as-up-10700|1
13|2019 Photo Falsely Shared As Ashok Gehlot Bursting Crackers On Diwali|BOOM found that the viral photo is from October 2019 when Ashok Gehlot celebrated Diwali with his family.|BoomLive|https://www.boomlive.in/h-upload/2020/11/23/500x300_934737-cm-ashok.webp|https://www.boomlive.in/fake-news/fake-news/2019-photo-falsely-shared-as-ashok-gehlot-bursting-crackers-on-diwali-10759|1
14|2016 Video Viral As Diwali Celebrations By The Indian Navy|A 2016 video from International Fleet Review in Visakhapatnam, Andhra Pradesh is viral as recent.|BoomLive|https://www.boomlive.in/h-upload/2020/11/21/500x300_934678-indian-navy.webp|https://www.boomlive.in/fake-news/fake-news/2016-video-viral-as-diwali-celebrations-by-the-indian-navy-10746|1
15|Social Media 'Celebrates' Airstrike In PoK, Indian Army Refutes Claim|Indian Army's Director General of Military Operations said that reports of army's action in Pakistan-occupied Kashmir...|BoomLive|https://www.boomlive.in/h-upload/2020/11/20/500x300_934648--24-1.webp|https://www.boomlive.in/fake-news/fake-news/social-media-celebrates-airstrike-in-pok-indian-army-refutes-claim-10742|1
16|2014 Video Shared As Hindu Chants Recited At White House For Joe Biden|The video is from 2014 when a Hindu-American organisation held an event at the White House to celebrate Mahatma Gandhi's ...|BoomLive|https://www.boomlive.in/h-upload/2020/11/20/500x300_934629-vedic-chanting-in-u-s-senate.webp|https://www.boomlive.in/fake-news/fake-news/2014-video-shared-as-hindu-chants-recited-at-white-house-for-joe-biden-10735|1
17|Video Game Clip Revived Falsely Claiming IAF Air Strikes In PoK|BOOM found that the clip is not actual footage of an Indian Air Force airstrike.|BoomLive|https://www.boomlive.in/h-upload/2020/11/20/500x300_934623-pok-airforce-airstrike.webp|https://www.boomlive.in/fake-news/fast-check/video-game-clip-revived-falsely-claiming-iaf-air-strikes-in-pok-10731|1
18|Image Of Amit Shah Dining With Mamata Banerjee Revived With False...|BOOM found that the image was taken in February, 2020 at a lunch meeting at Naveen Patnaik's residence in Odisha.|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934564-old-picture-of-mamata-banerjee-amit-shah-01.webp|https://www.boomlive.in/fake-news/fake-news/image-of-amit-shah-dining-with-mamata-banerjee-revived-with-false-claims-10729|1
19|India Today, Aaj Tak Tweet Edited Video Of Indonesian Kid Dancing|BOOM found that the video was shot in Indonesia's West Java Province, where a four-year-old danced to Islamic chants|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934581-dama-dam-mast-qalandar-sufi-song-01.webp|https://www.boomlive.in/fake-news/fake-news/india-today-aaj-tak-tweet-edited-video-of-indonesian-kid-dancing-10727|1
20|No, This Video Does Not Show Yogi Adityanath Bursting Firecrackers On...|The video is from August 2020 when the chief minister lit a firecracker ahead of the foundation stone laying ceremony of ...|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934546-yogi-land.webp|https://www.boomlive.in/fake-news/fake-news/no-this-video-does-not-show-yogi-adityanath-bursting-firecrackers-on-diwali-10723|1
21|No, This Is Not A Polling Officer Alleging Rigging During Bihar...|BOOM found that the viral clip is from Madhya Pradesh where a Congress leader's daughter had made these allegations...|BoomLive|https://www.boomlive.in/h-upload/2020/11/19/500x300_934553-madhya-pradesh.webp|https://www.boomlive.in/fake-news/fake-news/no-this-is-not-a-polling-officer-alleging-rigging-during-bihar-elections-10714|1
22|Pak Handles Share 2010 Photo Linking It To Recent LoC Strike|BOOM found that the viral photo dates back to 2010 and is not from the recent tribute ceremony for the four soldiers...|BoomLive|https://www.boomlive.in/h-upload/2020/11/18/500x300_934502-this-is-10-years-old-pic-1.webp|https://www.boomlive.in/fake-news/fake-news/pak-handles-share-2010-photo-linking-it-to-recent-loc-strike-10708|1
23|Indian Army Refutes Reports Of Microwave Weapons Used By China At...|The claim originated from a professor at Renmin University of Beijing, but has not been confirmed by Chinese officials.|BoomLive|https://www.boomlive.in/h-upload/2020/11/18/500x300_934508-india-china-clash.webp|https://www.boomlive.in/fake-news/fake-news/indian-army-refutes-reports-of-microwave-weapons-used-by-china-at-border-10703|1
24|Disturbing Video of Woman Burnt in Karnataka Peddled as UP|BOOM found that the incident is from Mysuru district of Karnataka, where an unidentified woman's charred corpse was|BoomLive|https://www.boomlive.in/h-upload/2020/11/17/500x300_934407-934364-incident-of-a-girl-burnt-alive-in-mysuru-shared-as-incident-from-up-01.webp|https://www.boomlive.in/fake-news/fake-news/disturbing-video-of-woman-burnt-in-karnataka-peddled-as-up-10700|1
25|Old Video Of Anti-Pak Slogans During Ganpati Visarjan Passed Off As|BOOM spoke to the organisers of a Hindu Jagruti Mandal who confirmed that slogans were raised at a Ganpati visarjan in...|BoomLive|https://www.boomlive.in/h-upload/2020/11/18/500x300_934483-jnu-.webp|https://www.boomlive.in/fake-news/fake-news/old-video-of-anti-pak-slogans-during-ganpati-visarjan-passed-off-as-jnu-10698|1
26|2018 Photo Falsely Shared As Tejashwi Yadav Marching For Gulnaz Khatun|BOOM found that the photo is from December 2018 when Tejashwi Yadav protested against the murder of a businessman.|BoomLive|https://www.boomlive.in/h-upload/2020/11/18/500x300_934485-tejashwi-yadav-03.webp|https://www.boomlive.in/fake-news/fake-news/2018-photo-falsely-shared-as-tejashwi-yadav-marching-for-gulnaz-khatun-10696|1
27|Old Video Revived As Crowded Railway Station During COVID-19|BOOM found that the video has been present on Facebook since 2018|BoomLive|https://www.boomlive.in/h-upload/2020/11/17/500x300_934451-old-video-of-crowded-train-station-shared-as-recent.webp|https://www.boomlive.in/fake-news/fake-news/old-video-revived-as-crowded-railway-station-during-covid-19-10695|1
28|No, This Is Not One Of The Accused In Bihar's Gulnaz Khatun Case|BOOM found that the viral image is of an accused in a separate alleged murder that took place in the same district in...|BoomLive|https://www.boomlive.in/h-upload/2020/11/17/500x300_934449--02.webp|https://www.boomlive.in/fake-news/fake-news/no-this-is-not-one-of-the-accused-in-bihars-gulnaz-khatun-case-10694|1
29|Pak Handles Use Fake Image To Discredit Indian Army's Strike Across|BOOM found that the screenshot has been morphed to include text from an unrelated video of Syrian bombings|BoomLive|https://www.boomlive.in/h-upload/2020/11/17/500x300_934409-battle-of-syria.webp|https://www.boomlive.in/fake-news/fake-news/pak-handles-use-fake-image-to-discredit-indian-armys-strike-across-loc-10687|1
30|Video From Romania Viral As Muslims Arrested In France For Spitting In ...|The video is being shared with a fake claim that it shows police officials in France arresting|BoomLive|https://www.boomlive.in/h-upload/2020/11/18/500x300_934479-video-from-romania-viral-as-muslims-arrested-in-france-for-spitting-in-train-01.webp|https://www.boomlive.in/fake-news/fake-news/video-from-romania-viral-as-muslims-arrested-in-france-for-spitting-in-train-10674|1
31|Photos From 2019 Maharashtra Polls Shared As EVMs 'Stolen' In Bihar|The photos date back to 2019 when Maharashtra conducted polls and were shot in Raigad district.|BoomLive|https://www.boomlive.in/h-upload/2020/11/16/500x300_934359-electronic-voting-machines-evms.webp|https://www.boomlive.in/fake-news/fake-news/photos-from-2019-maharashtra-polls-shared-as-evms-stolen-in-bihar-10673|1
32|Posts Claiming Indian Ahmed Khan Appointed Advisor To Biden Are False|BOOM found that the photos showing Khan with current US President-elect Joe Biden is from 2015.|BoomLive|https://www.boomlive.in/h-upload/2020/11/14/500x300_934319-joe-biden-ahmed-khan.webp|https://www.boomlive.in/fake-news/fake-news/posts-claiming-indian-ahmed-khan-appointed-advisor-to-biden-are-false-10662|1
33|Rohit Sharma's Image Was Not Displayed On Burj Khalifa After MI's IPL...|BOOM found that the original image had been doctored to feature Sharma's photo and the Mumbai Indians' motif.|BoomLive|https://www.boomlive.in/h-upload/2020/11/13/500x300_934277-rohit-sharma-mi-01.webp|https://www.boomlive.in/fake-news/fake-news/rohit-sharmas-image-was-not-displayed-on-burj-khalifa-after-mis-ipl-win-10653|1
34|COVID-19 Vaccine To Alter DNA? 5 False Claims By Christiane Northrup|Gynecologist Christiane Northrup claims COVID-19 vaccine is a ploy to collect biometric data by the Bill and Melinda...|BoomLive|https://www.boomlive.in/h-upload/2020/11/13/500x300_934282-dr-christiane-northrup.webp|https://www.boomlive.in/fake-news/fake-news/covid-19-vaccine-to-alter-dna-5-false-claims-by-christiane-northrup-10651|1
35|2019 Video Of 'Booth Capture' In Haryana Shared As Bihar|BOOM found that the video is from Haryana's Faridabad, during the Lok Sabha elections where a polling agent was caught...|BoomLive|https://www.boomlive.in/h-upload/2020/11/13/500x300_934260-bjp-voting-officer-pressing-button-before-the-uneducated-muslim-women-vote-in-bihar-01.webp|https://www.boomlive.in/fake-news/fake-news/2019-video-of-booth-capture-in-haryana-shared-as-bihar-10644|1
36|2016 Clip Of Kejriwal Alleging Owaisi-Shah 'Secret Deal' For Bihar...|The viral clip is from 2016 when Arvind Kejriwal read a letter he received alleging a nexus between Akbaruddin Owaisi...|BoomLive|https://www.boomlive.in/h-upload/2020/11/13/500x300_934248-bihar-election-ke-planning-gujraat-me-amit-shah-ke-ghar-par-huwi.webp|https://www.boomlive.in/fake-news/fake-news/2016-clip-of-kejriwal-alleging-owaisi-shah-secret-deal-for-bihar-polls-revived-10643|1
37|No, This Is Not The Funeral Of Samuel Paty's Killer Abdoullakh Anzorov|BOOM found that the video is from 2018 and that the funeral it features is that of Yusup Temirkhanov, a Chechen...|BoomLive|https://www.boomlive.in/h-upload/2020/11/12/500x300_934202-french-killer-funeral-fact-check.webp|https://www.boomlive.in/fake-news/fake-news/no-this-is-not-the-funeral-of-samuel-patys-killer-abdoullakh-anzorov-10640|1
38|No, These Pics Don't Show Sweets Being Dumped By RJD's Patna Office|BOOM traced two of the three viral photos to Madhya Pradesh and Haryana and found the claim to be false.|BoomLive|https://www.boomlive.in/h-upload/2020/11/12/500x300_934181-sweets-being-dumped-in-rjd-office-patna.webp|https://www.boomlive.in/fake-news/fake-news/no-these-pics-dont-show-sweets-being-dumped-by-rjds-patna-office-10626|1
