Sr.no|title|content|author|image url|news url|label
1|KTR's Claims on Farm Loan Waivers Don't Tell the Whole Story|In the last 6 years, Telangana Chief Minister KCR has released ₹27,718 Cr towards farm loan waiver. This is second only to Maharashtra.|Ayswarya Murthy|https://www.factchecker.in/h-upload/2020/11/21/500x300_331495-ktrs-claims-on-farm-loan-waivers-dont-tell-the-whole-story.webp|https://www.factchecker.in/fact-check/0/ktrs-claims-on-farm-loan-waivers-dont-tell-the-whole-story/|1
2|Bihar elections are NOT the first in the world since COVID-19|"BJP President JP Nadda, in an interview to Editor-in-Chief of Zee News Sudhir Chaudhary on November 1st, claimed that Bihar's election would be the first in the world to be held amidst a pandemic while maintaining COVID-19 protocols. ""Duniya mein yeh pehla chunav hai jo corona ke sankraman ke baad aur corona ke protocols mein lada ja raha hai."" Nadda said."|Nidhi Jacob|https://www.factchecker.in/h-upload/2020/11/21/500x300_331499-jp-nadda.webp|https://www.factchecker.in/fact-check/0/bihar-elections-are-not-the-first-in-the-world-since-covid-19/|1
3|Bihar Elections 2020: Law & Order During Nitish Kumar's Rule|Claim 5: Crimes in the state rose by 42% last year compared to 2016. Murders have correspondingly risen by 20% from 2,581 in 2016 to 3,138 last year. Rapes have risen almost 44% from 1,008 in 2016 to 1,450 last year.|Ayswarya Murthy|https://www.factchecker.in/wp-content/uploads/2020/10/crime-rate-in-india.jpg|https://www.factchecker.in/fact-check/0/bihar-elections-2020-law-order-during-nitish-kumars-rule/|0
4|FactChecking PM Modi’s Claims On Setting Up New IITs, IIMs, AIIMS|“For the last seven decades, only seven All India Institute of Medical Sciences (AIIMS) were serving the country. After the year 2014, more than double, i,e, 15 AIIMS have been established in the country or are in the process of starting.”|Nidhi Jacob|https://www.factchecker.in/wp-content/uploads/2020/10/download.jpg|https://www.factchecker.in/fact-check/0/factchecking-pm-modis-claims-on-setting-up-iits-aiims-in-india/|1
5|India’s air is filthy, says Donald Trump: Why India Has A Lot To Worry|“Look at India — it’s filthy. The air is filthy.”|Factchecker Team|https://www.factchecker.in/wp-content/uploads/2020/10/Low_visibility_due_to_Smog_at_New_Delhi_Railway_station_31st_Dec_2017_after_9AM_DSCN8829_1.jpg|https://www.factchecker.in/fact-check/0/indias-air-is-filthy-says-donald-trump-why-india-has-a-lot-to-worry/|0
6|"""Setting Up More Medical Colleges"", Says PM Modi: A FactCheck"|“We are setting up more medical colleges especially in rural areas. This ensures more opportunities for the youth. It brings better healthcare to our villages” - PM Modi|Ayswarya Murthy|https://www.factchecker.in/wp-content/uploads/2020/10/Setting-UP-More-Medical-Colleges.jpg|https://www.factchecker.in/fact-check/0/setting-up-more-rural-medical-colleges-says-pm-modi-a-factcheck/|0
7|Factchecking Yogi Adityanath's Claims On Crimes Against Women In UP|“We are setting up more medical colleges especially in rural areas. This ensures more opportunities for the youth. It brings better healthcare to our villages” - PM Modi|Mohammed Kudrati|https://www.factchecker.in/wp-content/uploads/2020/10/Factchecking-Yogi-Adityanaths-Claims-On-Crimes-Against-Women-In-UP01-1.jpg|https://www.factchecker.in/fact-check/0/factchecking-yogi-adityanaths-claims-on-crimes-against-women-in-up/|1
8|#IndependenceDay Push For More Infra Projects At Odds With India’s Climate Realities|“India can say this proudly that it is one of the very few countries where its area under forests is expanding.”|Factchecker Team|https://www.factchecker.in/wp-content/uploads/2020/08/PM-Modi-addresses-the-Nation-on-the-74th-Independence-Day-from-Red-Fort-Delhi-_-PMO-2-24-screenshot_920x450.jpg|https://www.factchecker.in/fact-check/0/independenceday-push-for-more-infra-projects-at-odds-with-indias-climate-realities/|1
9|KTR's Claims on Farm Loan Waivers Don't Tell the Whole Story|In the last 6 years, Telangana Chief Minister KCR has released ₹27,718 Cr towards farm loan waiver. This is second only to Maharashtra.|Ayswarya Murthy|https://www.factchecker.in/h-upload/2020/11/21/500x300_331495-ktrs-claims-on-farm-loan-waivers-dont-tell-the-whole-story.webp|https://www.factchecker.in/fact-check/1/ktrs-claims-on-farm-loan-waivers-dont-tell-the-whole-story/|1
10|Bihar elections are NOT the first in the world since COVID-19|"BJP President JP Nadda, in an interview to Editor-in-Chief of Zee News Sudhir Chaudhary on November 1st, claimed that Bihar's election would be the first in the world to be held amidst a pandemic while maintaining COVID-19 protocols. ""Duniya mein yeh pehla chunav hai jo corona ke sankraman ke baad aur corona ke protocols mein lada ja raha hai."" Nadda said."|Nidhi Jacob|https://www.factchecker.in/h-upload/2020/11/21/500x300_331499-jp-nadda.webp|https://www.factchecker.in/fact-check/1/bihar-elections-are-not-the-first-in-the-world-since-covid-19/|1
